TEXT	A1	A2	GOLD
Diremo prima brevemente ciò che facesser coloro, dal momento in cui gli abbiamo lasciati, parte nel casolare e parte all'osteria.	NEUTRAL	NEUTRAL	NEUTRAL
Questi tre, quando videro tutti gli usci chiusi e la strada deserta, uscirono in fretta, come se si fossero avvisti d'aver fatto tardi, e dicendo di voler andar subito a casa; diedero una giravolta per il paese, per venire in chiaro se tutti eran ritirati; e in fatti, non incontrarono anima vivente, né sentirono il più piccolo strepito.	NEUTRAL	NERVOUSNESS,NEUTRAL	NERVOUSNESS,NEUTRAL
Passarono anche, pian piano, davanti alla nostra povera casetta: la più quieta di tutte, giacché non c'era più nessuno.	NEUTRAL	NEUTRAL	NEUTRAL,CARING
Andarono allora diviato al casolare, e fecero la loro relazione al signor Griso.	NEUTRAL	NEUTRAL	NEUTRAL
Subito, questo si mise in testa un cappellaccio, sulle spalle un sanrocchino di tela incerata, sparso di conchiglie; prese un bordone da pellegrino, disse: «andiamo da bravi: zitti, e attenti agli ordini», s'incamminò il primo, gli altri dietro; e, in un momento, arrivarono alla casetta, per una strada opposta a quella per cui se n'era allontanata la nostra brigatella, andando anch'essa alla sua spedizione.	NEUTRAL	NEUTRAL	NEUTRAL
Il Griso trattenne la truppa, alcuni passi lontano, andò innanzi solo ad esplorare, e, visto tutto deserto e tranquillo di fuori, fece venire avanti due di quei tristi, diede loro ordine di scalar adagino il muro che chiudeva il cortiletto, e, calati dentro, nascondersi in un angolo, dietro un folto fico, sul quale aveva messo l'occhio, la mattina.	NEUTRAL	NEUTRAL	NEUTRAL
Ciò fatto, picchiò pian piano, con intenzione di dirsi un pellegrino smarrito, che chiedeva ricovero, fino a giorno.	NEUTRAL	NEUTRAL	NEUTRAL
Nessun risponde: ripicchia un po' più forte; nemmeno uno zitto.	NEUTRAL	NEUTRAL	NEUTRAL
Allora, va a chiamare un terzo malandrino, lo fa scendere nel cortiletto, come gli altri due, con l'ordine di sconficcare adagio il paletto, per aver libero l'ingresso e la ritirata.	NEUTRAL	NEUTRAL	NEUTRAL
Tutto s'eseguisce con gran cautela, e con prospero successo.	NEUTRAL,JOY	JOY	JOY
Va a chiamar gli altri, li fa entrar con sé, li manda a nascondersi accanto ai primi; accosta adagio adagio l'uscio di strada, vi posta due sentinelle di dentro; e va diritto all'uscio del terreno.	NEUTRAL	NEUTRAL	NEUTRAL
Picchia anche lì, e aspetta: e' poteva ben aspettare.	NEUTRAL	NEUTRAL	NEUTRAL
Sconficca pian pianissimo anche quell'uscio: nessuno di dentro dice: chi va là?; nessuno si fa sentire: meglio non può andare.	NEUTRAL,JOY	NEUTRAL	JOY,NERVOUSNESS
Avanti dunque: «st», chiama quei del fico, entra con loro nella stanza terrena, dove, la mattina, aveva scelleratamente accattato quel pezzo di pane.	NEUTRAL,DISAPPROVAL	NEUTRAL	NEUTRAL
Cava fuori esca, pietra, acciarino e zolfanelli, accende un suo lanternino, entra nell'altra stanza più interna, per accertarsi che nessun ci sia: non c'è nessuno.	NEUTRAL	NEUTRAL	NEUTRAL
Torna indietro, va all'uscio di scala, guarda, porge l'orecchio: solitudine e silenzio.	NEUTRAL	NEUTRAL	NEUTRAL
Lascia due altre sentinelle a terreno, si fa venir dietro il Grignapoco, ch'era un bravo del contado di Bergamo, il quale solo doveva minacciare, acchetare, comandare, essere in somma il dicitore, affinché il suo linguaggio potesse far credere ad Agnese che la spedizione veniva da quella parte.	NEUTRAL	NEUTRAL	NEUTRAL
Con costui al fianco, e gli altri dietro, il Griso sale adagio adagio, bestemmiando in cuor suo ogni scalino che scricchiolasse, ogni passo di que' mascalzoni che facesse rumore.	ANGER,DISAPPROVAL	ANGER	ANGER
Finalmente è in cima.	JOY	RELIEF	RELIEF
Qui giace la lepre.	NEUTRAL	NEUTRAL	NEUTRAL
Spinge mollemente l'uscio che mette alla prima stanza; l'uscio cede, si fa spiraglio: vi mette l'occhio; è buio: vi mette l'orecchio, per sentire se qualcheduno russa, fiata, brulica là dentro; niente.	NEUTRAL	NEUTRAL	NEUTRAL
Dunque avanti: si mette la lanterna davanti al viso, per vedere, senza esser veduto, spalanca l'uscio, vede un letto; addosso: il letto è fatto e spianato, con la rimboccatura arrovesciata, e composta sul capezzale.	SURPRISE	NEUTRAL	NEUTRAL
Si stringe nelle spalle, si volta alla compagnia, accenna loro che va a vedere nell'altra stanza, e che gli vengan dietro pian piano; entra, fa le stesse cerimonie, trova la stessa cosa.	CONFUSION,SURPRISE	NEUTRAL	NEUTRAL
«Che diavolo è questo?» dice allora: «che qualche cane traditore abbia fatto la spia?»	ANGER,REALIZATION	ANGER	ANGER
Si metton tutti, con men cautela, a guardare, a tastare per ogni canto, buttan sottosopra la casa.	CONFUSION,NERVOUSNESS	NERVOUSNESS	CONFUSION,NERVOUSNESS
Mentre costoro sono in tali faccende, i due che fan la guardia all'uscio di strada, sentono un calpestìo di passini frettolosi, che s'avvicinano in fretta; s'immaginano che, chiunque sia, passerà diritto; stan quieti, e, a buon conto, si mettono all'erta.	NEUTRAL,NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
In fatti, il calpestìo si ferma appunto all'uscio.	NEUTRAL,REALIZATION	NEUTRAL	NEUTRAL
Era Menico che veniva di corsa, mandato dal padre Cristoforo ad avvisar le due donne che, per l'amor del cielo, scappassero subito di casa, e si rifugiassero al convento, perché… il perché lo sapete.	NERVOUSNESS,FEAR	NEUTRAL	FEAR
Prende la maniglia del paletto, per picchiare, e se lo sente tentennare in mano, schiodato e sconficcato.	NEUTRAL,SURPRISE	NEUTRAL	SURPRISE
– Che è questo? – pensa; e spinge l'uscio con paura: quello s'apre.	SURPRISE,FEAR	SURPRISE	SURPRISE,FEAR
Menico mette il piede dentro, in gran sospetto, e si sente a un punto acchiappar per le braccia, e due voci sommesse, a destra e a sinistra, che dicono, in tono minaccioso: «zitto! o sei morto».	NERVOUSNESS,ANGER	ANGER,FEAR	ANGER,NERVOUSNESS
Lui in vece caccia un urlo: uno di que' malandrini gli mette una mano alla bocca; l'altro tira fuori un coltellaccio, per fargli paura.	FEAR,ANGER	FEAR	FEAR,ANGER
Il garzoncello trema come una foglia, e non tenta neppur di gridare; ma, tutt'a un tratto, in vece di lui, e con ben altro tono, si fa sentir quel primo tocco di campana così fatto, e dietro una tempesta di rintocchi in fila.	FEAR,SURPRISE	FEAR	FEAR,SURPRISE
Chi è in difetto è in sospetto, dice il proverbio milanese: all'uno e all'altro furfante parve di sentire in que' tocchi il suo nome, cognome e soprannome: lasciano andar le braccia di Menico, ritirano le loro in furia, spalancan la mano e la bocca, si guardano in viso, e corrono alla casa, dov'era il grosso della compagnia.	CONFUSION,FEAR,EMBARRASSMENT	FEAR	CONFUSION,FEAR
Menico, via a gambe per la strada, alla volta del campanile, dove a buon conto qualcheduno ci doveva essere.	FEAR,OPTIMISM	FEAR	FEAR,OPTIMISM
Agli altri furfanti che frugavan la casa, dall'alto al basso, il terribile tocco fece la stessa impressione: si confondono, si scompigliano, s'urtano a vicenda: ognuno cerca la strada più corta, per arrivare all'uscio.	CONFUSION,FEAR	CONFUSION,FEAR	CONFUSION,FEAR
Eppure era tutta gente provata e avvezza a mostrare il viso: ma non poterono star saldi contro un pericolo indeterminato, e che non s'era fatto vedere un po' da lontano, prima di venir loro addosso.	NEUTRAL,FEAR	FEAR	FEAR
Ci volle tutta la superiorità del Griso a tenerli insieme, tanto che fosse ritirata e non fuga.	NEUTRAL	NEUTRAL	NEUTRAL
Come il cane che scorta una mandra di porci, corre or qua or là a quei che si sbandano; ne addenta uno per un orecchio, e lo tira in ischiera; ne spinge un altro col muso; abbaia a un altro che esce di fila in quel momento; così il pellegrino acciuffa un di coloro, che già toccava la soglia, e lo strappa indietro; caccia indietro col bordone uno e un altro che s'avviavan da quella parte: grida agli altri che corron qua e là, senza saper dove; tanto che li raccozzò tutti nel mezzo del cortiletto.	CONFUSION,DISAPPROVAL	ANGER	ANGER,CONFUSION
«Presto, presto! pistole in mano, coltelli in pronto, tutti insieme; e poi anderemo: così si va.	NERVOUSNESS,DISAPPROVAL	ANGER	NERVOUSNESS,DISAPPROVAL
Chi volete che ci tocchi, se stiam ben insieme, sciocconi?	DISAPPROVAL,ANGER,RELIEF	ANGER,OPTIMISM	ANNOYANCE,OPTIMISM
Ma, se ci lasciamo acchiappare a uno a uno, anche i villani ce ne daranno.	DISAPPROVAL	ANGER	DISAPPROVAL
Vergogna!	ANGER,DISAPPROVAL	ANGER,DISAPPROVAL	ANGER,DISAPPROVAL
Dietro a me, e uniti.»	NEUTRAL,RELIEF	NEUTRAL	NEUTRAL
Dopo questa breve aringa, si mise alla fronte, e uscì il primo.	NEUTRAL	NEUTRAL	NEUTRAL
La casa, come abbiam detto, era in fondo al villaggio; il Griso prese la strada che metteva fuori, e tutti gli andaron dietro in buon ordine.	NEUTRAL	NEUTRAL	NEUTRAL
Lasciamoli andare, e torniamo un passo indietro a prendere Agnese e Perpetua, che abbiam lasciate in una certa stradetta.	NEUTRAL	NEUTRAL	NEUTRAL
Agnese aveva procurato d'allontanar l'altra dalla casa di don Abbondio, il più che fosse possibile; e, fino a un certo punto, la cosa era andata bene.	NEUTRAL,JOY	NEUTRAL	NEUTRAL,JOY
Ma tutt'a un tratto, la serva s'era ricordata dell'uscio rimasto aperto, e aveva voluto tornare indietro.	NEUTRAL,REMORSE	NEUTRAL	NEUTRAL
Non c'era che ridire: Agnese, per non farle nascere qualche sospetto, aveva dovuto voltar con lei, e andarle dietro, cercando però di trattenerla, ogni volta che la vedesse riscaldata ben bene nel racconto di que' tali matrimoni andati a monte.	NEUTRAL,NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
